1(-0.058007, 0.031094, 0.103548)
1(-0.019931, -0.043833, 0.037897)
1(-0.044625, -0.062822, -0.036207)
1(-0.076553, 0.005932, -0.113073)
1(-0.06298, -0.002041, -0.069746)
0(-0.020189, 0.010094, -0.01871)
0(0.00349, 0.038132, -0.014565)
0(0.026215, 0.009801, 0.025128)
0(-0.014623, -0.016504, 0.02814)
0(-0.043136, -0.003806, -0.02425)
0(-0.02036, 0.053986, -0.030926)
0(0.051133, 0.05306, 0.014152)
0(0.054451, 0.032849, 0.059854)
0(0.030114, 0.007596, 0.066339)
0(0.009957, -0.002114, 0.053098)
0(-0.020799, 0.024457, -0.027502)
0(-0.028186, 0.01969, -0.035322)
0(-0.024134, 0.005082, -0.071791)
0(-0.017502, 0.015118, -0.010772)
0(0.003758, -0.010703, -0.009699)
0(0.031751, -0.038433, -0.006239)
0(0.007726, 0.006695, 0.010154)
0(-0.020783, 0.021746, 0.016823)
0(-0.011419, -0.000699, 0.004316)
0(-0.020062, 0.019569, 0.026298)
0(-0.028112, 0.078358, 0.075678)
0(0.000302, 0.05382, 0.069599)
0(0.052242, 0.000113, -0.000225)
0(0.024384, -0.002144, -0.0302)
0(0.035011, 0.013916, -0.05116)
0(-0.002486, 0.022468, -0.044394)
0(-0.024917, -0.007094, 0.029809)
0(0.004693, -0.023941, 0.110518)
0(0.007654, -0.035685, 0.119786)
0(-0.014323, -0.021292, 0.095804)
0(-0.05053, -0.043324, 0.00503)
0(-0.126002, 0.035425, -0.150623)
0(-0.096426, 0.003063, -0.196605)
0(-0.03503, -0.025081, -0.118575)
0(-0.011406, -0.000113, 0.002273)
0(-0.005212, 0.022262, 0.066569)
0(0.011933, -0.004719, 0.08713)
0(0.014606, -0.018674, 0.0535)
0(0.001221, -0.032045, 0.020199)
0(-0.021912, -0.053979, 0.039143)
0(-0.033327, -0.011625, 0.057323)
0(-0.051951, 0.046738, -0.001213)
0(-0.09453, 0.053532, -0.11628)
0(-0.026458, 0.0214, -0.05402)
0(0.02849, 0.026569, -0.030789)
0(0.06991, 0.011039, 0.039792)
0(0.053694, 0.008528, 0.077506)
0(0.034349, 0.028396, 0.081517)
0(0.003675, 0.070858, 0.077368)
0(-0.031487, 0.026485, -0.010465)
0(-0.002909, -0.011722, -0.063796)
0(0.007613, 0.018707, -0.061465)
0(0.017047, 0.016959, 0.001278)
0(0.003621, 0.025646, 0.039886)
0(0.007308, 0.015498, 0.033447)
0(0.016298, -0.008988, 0.064657)
0(-0.014417, -0.022214, 0.051252)
0(-0.05533, -0.008449, 0.022369)
0(-0.065887, 0.000353, -0.008541)
0(-0.051615, 0.002191, -0.043246)
0(-0.008036, 0.004051, -0.002169)
0(0.024105, -0.01612, 0.044331)
0(0.021331, -0.005444, 0.038921)
0(0.013629, 0.002569, -0.030357)
0(0.022679, -0.009323, -0.067222)
0(0.002028, 0.01248, -0.051988)
0(0.007627, 0.012505, 0.000789)
0(-0.000674, 0.000293, 0.006546)
0(0.006399, -0.01458, 0.024126)
0(-0.006066, -0.012715, 0.02277)
0(-0.024796, 0.009506, 0.014731)
0(-0.025232, 0.010531, 0.00315)
0(-0.007074, 0.004406, -0.003517)
0(0.002167, 0.015529, -0.028134)
0(0.016503, 0.006343, -0.021734)
0(0.014344, 0.018118, -0.001455)
0(0.009817, 0.005644, 0.00656)
0(0.02086, -0.005184, 0.02293)
0(0.01454, -0.003871, 0.034386)
0(0.003849, 0.002008, 0.037927)
0(-0.017578, 0.010739, 0.017923)
0(-0.01996, 0.00275, -0.001321)
0(-0.016366, 0.003628, 0.002742)
0(-0.002834, -0.004188, 0.014165)
0(-0.007947, -0.011196, -0.001697)
0(-0.018279, -0.008784, -0.032742)
0(-0.018114, 0.001517, -0.035607)
0(-0.005404, 0.006858, -0.010506)
0(0.010477, 0.002362, 0.014038)
0(0.0238, -0.013415, 0.031342)
0(0.000225, 0.006323, 0.012714)
0(-0.001415, -0.008229, 0.001511)
