1(1.336421, -6.011499, -8.681946)
1(1.180745, -5.975574, -8.329878)
0(0.996328, -5.906118, -8.358619)
0(0.713716, -5.812713, -8.665181)
0(0.464634, -5.846243, -8.914263)
0(0.285007, -5.721702, -9.081915)
0(0.505349, -5.680986, -9.204061)
0(0.684976, -5.685777, -9.14179)
0(0.845442, -5.793552, -8.399334)
0(0.833467, -5.779182, -8.226892)
0(0.809517, -5.841453, -8.255632)
0(0.637075, -5.673801, -8.765772)
0(0.505349, -5.55405, -9.079519)
0(0.411943, -5.56842, -9.350157)
0(0.421523, -5.851033, -9.012459)
0(0.110171, -5.877378, -8.686736)
0(0.067061, -5.910908, -8.629255)
0(0.193997, -5.829478, -8.784932)
0(0.332908, -5.769602, -8.811277)
0(0.416733, -5.743257, -8.619676)
0(0.387993, -5.788763, -8.449629)
0(0.134121, -5.934859, -8.293953)
0(-0.059875, -5.865403, -8.447234)
0(-0.03353, -5.762417, -8.780142)
0(0.00479, -5.647456, -8.780142)
0(-0.007185, -5.716912, -8.504715)
0(-0.153281, -5.752837, -8.272398)
0(-0.354463, -5.719307, -8.262817)
0(-0.285007, -5.635481, -8.471185)
0(-0.059875, -5.566026, -8.703502)
0(0.105381, -5.669012, -8.50711)
0(0.193997, -5.767207, -8.466394)
0(0.253872, -5.807923, -8.461604)
0(0.141306, -5.738467, -8.487949)
0(0.129331, -5.582791, -8.6077)
0(0.289797, -5.441484, -8.873548)
0(0.517324, -5.738467, -9.053174)
0(0.179626, -5.661827, -8.964559)
0(-0.251477, -5.41993, -8.854387)
0(-0.256267, -5.427114, -8.811277)
0(-0.203577, -5.321733, -8.631651)
0(-0.119751, -4.964876, -8.222102)
0(0.095801, -4.816384, -7.683223)
0(0.313748, -5.144502, -7.556287)
0(0.833467, -5.834268, -7.604187)
0(0.890947, -5.783972, -7.783814)
0(0.902922, -5.436695, -7.723938)
0(0.809517, -5.058281, -7.817344)
0(1.104104, -4.864285, -7.834109)
0(1.88488, -5.266648, -8.162227)
0(1.135239, -4.622388, -9.309442)
0(0.833467, -4.208049, -9.450747)
0(0.778381, -3.422483, -9.78126)
0(1.585503, -3.242857, -10.30577)
0(2.543511, -3.367398, -10.43031)
0(2.43813, -2.960244, -10.281819)
0(2.074087, -2.581831, -10.128538)
0(1.911226, -2.598596, -10.38241)
0(0.866997, -2.615361, -11.019485)
0(0.627495, -3.568579, -10.832674)
0(0.775986, -4.129014, -10.080638)
0(1.099314, -4.509822, -9.510623)
0(1.135239, -4.88584, -10.085427)
0(0.862207, -5.075047, -8.959768)
0(1.058599, -5.048701, -8.746612)
0(1.887275, -5.465435, -7.975415)
0(1.717229, -5.393584, -7.125184)
0(1.379531, -5.44388, -6.653365)
0(0.893342, -5.633086, -6.658154)
0(1.084944, -5.877378, -7.865244)
0(1.568738, -5.635481, -8.406519)
0(2.157913, -5.55405, -9.067544)
0(2.275269, -5.649851, -9.469908)
0(2.038162, -5.573211, -10.643467)
0(1.468147, -5.348079, -10.696157)
0(1.475332, -4.84273, -10.782378)
0(1.896856, -4.936135, -10.681787)
0(2.474055, -5.42951, -10.36804)
0(1.628613, -4.893025, -10.760823)
0(0.914898, -4.143384, -10.866204)
0(0.419128, -4.220025, -10.722503)
0(0.617915, -4.706213, -10.473421)
0(0.840652, -5.276228, -10.209969)
0(0.979563, -5.393584, -10.095008)
0(1.003513, -5.113367, -10.116563)
0(0.981958, -4.608018, -9.992022)
0(1.257385, -4.459527, -9.884246)
0(1.465752, -4.311035, -9.513018)
0(1.599873, -4.521797, -8.674761)
0(1.350791, -4.588858, -7.874825)
0(0.924478, -4.380491, -7.350315)
0(0.680186, -4.469107, -7.707173)
0(0.474214, -4.435576, -8.325089)
0(0.095801, -3.463198, -10.253079)
0(0.167651, -3.319497, -10.904525)
0(0.100591, -3.221301, -10.782378)
0(0.268242, -4.22721, -9.424402)
0(0.593965, -4.596043, -8.732242)
0(0.795147, -4.933741, -7.652088)
0(0.922083, -5.398374, -6.919212)
0(0.950823, -5.690567, -6.507268)
0(0.483794, -5.611531, -8.509504)
0(0.172441, -4.746929, -9.510623)
0(0.306563, -4.586462, -9.970467)
0(0.522114, -4.414021, -10.293795)
0(0.538879, -4.555327, -10.023157)
0(0.706531, -4.562512, -9.474698)
0(0.898132, -4.751719, -9.987232)
0(0.613125, -4.478687, -10.145303)
0(0.285007, -4.296665, -10.097403)
0(0.486189, -4.354146, -9.891431)
0(0.778381, -4.315825, -9.587264)
0(1.130449, -4.054768, -9.216036)
0(1.288521, -3.958967, -9.182506)
0(1.7795, -3.68354, -8.892708)
0(1.968706, -3.800896, -8.734636)
0(2.014211, -3.67875, -9.223221)
0(1.786685, -3.67396, -9.532178)
0(1.26936, -3.61169, -9.891431)
0(0.874182, -3.525469, -10.303374)
0(0.708926, -3.482358, -10.279425)
0(0.661025, -3.491939, -10.257869)
0(0.780776, -3.563789, -10.030342)
0(0.725691, -3.70749, -9.587264)
0(0.764011, -3.803291, -9.374106)
0(0.905317, -3.839216, -9.371712)
0(1.120869, -3.846401, -9.553733)
0(1.082549, -3.839216, -9.960887)
0(0.807122, -3.745811, -10.083033)
0(0.646655, -3.657195, -10.281819)
0(0.728086, -3.68833, -10.238708)
0(0.730481, -3.738626, -9.884246)
0(0.62031, -3.788921, -9.565708)
0(0.58199, -3.803291, -9.11305)
0(0.744851, -3.846401, -8.943004)
0(0.816702, -3.884722, -9.326206)
0(0.807122, -3.879932, -9.498648)
0(0.692161, -3.750601, -9.70941)
0(0.708926, -3.609295, -9.848321)
0(0.797542, -3.523074, -9.941727)
0(0.850232, -3.448828, -10.061478)
0(0.890947, -3.365003, -9.915381)
0(0.797542, -3.324287, -9.704619)
0(1.087339, -3.285967, -9.620794)
0(1.717229, -3.379373, -9.429193)
0(1.724414, -3.410508, -9.443563)
0(1.305286, -3.238066, -9.560919)
0(0.517324, -3.099155, -8.978929)
0(-0.119751, -3.046465, -8.595725)
0(-0.706531, -3.10155, -8.392149)
0(-1.005908, -3.230881, -8.064031)
0(-1.415457, -3.836822, -8.346643)
0(-1.662144, -4.002078, -8.689131)
0(-1.513652, -4.124224, -8.509504)
0(-2.217788, -3.199746, -9.24717)
0(-2.169888, -3.70749, -9.759705)
0(-1.963916, -4.21284, -10.095008)
0(-1.987866, -4.497847, -10.763218)
0(-2.342329, -3.556604, -10.904525)
0(-1.80345, -3.147056, -10.938055)
0(-1.762734, -3.68354, -10.715318)
0(-1.858535, -3.676355, -10.554852)
0(-1.791475, -3.554209, -9.987232)
0(-2.579436, -3.62606, -9.570498)
0(-3.341052, -3.570974, -9.345366)
0(-3.479964, -3.283572, -9.268726)
0(-3.211721, -3.405718, -10.835069)
0(-3.65001, -3.67396, -11.817027)
0(-4.129014, -3.376978, -11.917618)
0(-4.488267, -2.651287, -10.981165)
0(-4.282295, -3.379373, -10.861414)
0(-3.027305, -4.117039, -8.983719)
0(-1.916016, -4.009263, -8.847202)
0(-1.441802, -3.733836, -9.287886)
0(-1.159189, -3.652405, -10.035132)
0(-0.876577, -3.451223, -10.566827)
0(-0.687371, -3.369793, -8.851993)
0(-0.205972, -3.307522, -9.17053)
0(-0.445474, -3.312312, -8.502319)
0(-0.675396, -3.309917, -8.413704)
0(-1.108894, -2.888394, -7.824529)
0(-1.317261, -2.785408, -8.00176)
0(-1.848955, -2.900369, -8.358619)
0(-2.720742, -2.615361, -8.777747)
0(-3.03928, -2.660867, -8.543036)
0(-3.187771, -2.794988, -8.732242)
0(-3.307522, -2.692002, -8.705896)
0(-3.748206, -2.727927, -8.164622)
0(-3.69791, -2.548301, -8.349038)
0(-3.992498, -2.478845, -9.14658)
0(-5.142107, -2.984195, -9.754915)
0(-5.582791, -2.883604, -9.85311)
0(-6.042634, -2.787803, -9.72378)
0(-5.733677, -2.634521, -9.553733)
0(-5.046306, -2.500401, -9.256751)
0(-4.598438, -2.38065, -9.405242)
0(-4.29427, -2.325564, -9.548944)
0(-4.28469, -2.359094, -9.73815)
0(-4.579278, -2.203418, -9.992022)
0(-4.596043, -2.246528, -9.912986)
0(-4.713398, -2.440525, -8.62207)
0(-4.751719, -2.416575, -8.298743)
0(-4.768484, -2.505191, -8.107141)
0(-4.576882, -2.363884, -7.740704)
0(-4.445157, -2.421365, -6.938372)
0(-4.87147, -2.301614, -7.199429)
0(-5.118157, -2.064507, -7.544312)
0(-5.395979, -1.992656, -7.398216)
0(-6.14562, -1.896856, -7.27128)
0(-6.430628, -1.762734, -7.235354)
0(-6.914422, -1.702859, -7.510782)
0(-7.369475, -1.760339, -8.116721)
0(-7.661668, -1.659749, -8.47837)
0(-7.872429, -1.448987, -8.710687)
0(-7.838899, -1.365161, -8.904683)
0(-7.498806, -1.295706, -8.895103)
0(-7.065308, -1.2023, -8.420889)
0(-6.686895, -1.21667, -7.913145)
0(-6.67492, -1.281335, -7.836504)
0(-6.583909, -1.336421, -7.841294)
0(-6.512058, -1.331631, -7.817344)
0(-6.476133, -1.362766, -7.755074)
0(-6.488108, -1.322051, -7.8868)
0(-6.581514, -1.415457, -7.975415)
0(-6.71803, -1.432222, -7.726333)
0(-6.667735, -1.499282, -7.345525)
0(-6.547984, -1.678909, -7.177874)
0(-6.318062, -1.671724, -7.345525)
0(-6.011499, -1.647774, -7.805369)
0(-5.898933, -1.631008, -8.095166)
0(-5.630691, -1.592688, -8.681946)
0(-4.916975, -1.379531, -9.558523)
0(-4.732559, -1.336421, -9.685459)
0(-4.485872, -1.295706, -9.606423)
0(-4.447551, -1.305286, -9.536968)
0(-4.29427, -1.298101, -9.340576)
0(-4.243975, -1.324446, -8.789722)
0(-4.346961, -1.362766, -8.416099)
0(-4.588858, -1.422642, -8.485555)
0(-4.665498, -1.484912, -9.002879)
